Country Code,Province Code,Holiday Name,Type of Holiday,Date,Start,End
AD,07,Any nou,public,2018-01-01 00:00:00,2017-12-31T23:00:00.000Z,2018-01-01T23:00:00.000Z
AD,07,Día de los Reyes Magos,public,2018-01-06 00:00:00,2018-01-05T23:00:00.000Z,2018-01-06T23:00:00.000Z
AD,07,Carnaval,public,2018-02-13 00:00:00,2018-02-12T23:00:00.000Z,2018-02-13T23:00:00.000Z
AD,07,Dia de la Constitució,public,2018-03-14 00:00:00,2018-03-13T23:00:00.000Z,2018-03-14T23:00:00.000Z
AD,07,Jueves Santo,bank,2018-03-29 14:00:00,2018-03-29T12:00:00.000Z,2018-03-29T22:00:00.000Z
AD,07,Viernes Santo,public,2018-03-30 00:00:00,2018-03-29T22:00:00.000Z,2018-03-30T22:00:00.000Z
AD,07,Pascua,public,2018-04-01 00:00:00,2018-03-31T22:00:00.000Z,2018-04-01T22:00:00.000Z
AD,07,Lunes de Pascua,public,2018-04-02 00:00:00,2018-04-01T22:00:00.000Z,2018-04-02T22:00:00.000Z
AD,07,Fiesta del trabajo,public,2018-05-01 00:00:00,2018-04-30T22:00:00.000Z,2018-05-01T22:00:00.000Z
AD,07,Pentecostés,public,2018-05-20 00:00:00,2018-05-19T22:00:00.000Z,2018-05-20T22:00:00.000Z
AD,07,Lunes de Pentecostés,public,2018-05-21 00:00:00,2018-05-20T22:00:00.000Z,2018-05-21T22:00:00.000Z
AD,07,Andorra La Vella Festival,public,2018-08-04 00:00:00,2018-08-03T22:00:00.000Z,2018-08-06T22:00:00.000Z
AD,07,Asunción,public,2018-08-15 00:00:00,2018-08-14T22:00:00.000Z,2018-08-15T22:00:00.000Z
AD,07,Mare de Déu de Meritxell,public,2018-09-08 00:00:00,2018-09-07T22:00:00.000Z,2018-09-08T22:00:00.000Z
AD,07,Todos los Santos,public,2018-11-01 00:00:00,2018-10-31T23:00:00.000Z,2018-11-01T23:00:00.000Z
AD,07,La inmaculada concepción,public,2018-12-08 00:00:00,2018-12-07T23:00:00.000Z,2018-12-08T23:00:00.000Z
AD,07,Nochebuena,bank,2018-12-24 00:00:00,2018-12-23T23:00:00.000Z,2018-12-24T23:00:00.000Z
AD,07,Nadal,public,2018-12-25 00:00:00,2018-12-24T23:00:00.000Z,2018-12-25T23:00:00.000Z
AD,07,San Esteban,public,2018-12-26 00:00:00,2018-12-25T23:00:00.000Z,2018-12-26T23:00:00.000Z
AD,07,Any nou,public,2019-01-01 00:00:00,2018-12-31T23:00:00.000Z,2019-01-01T23:00:00.000Z
AD,07,Día de los Reyes Magos,public,2019-01-06 00:00:00,2019-01-05T23:00:00.000Z,2019-01-06T23:00:00.000Z
AD,07,Carnaval,public,2019-03-05 00:00:00,2019-03-04T23:00:00.000Z,2019-03-05T23:00:00.000Z
AD,07,Dia de la Constitució,public,2019-03-14 00:00:00,2019-03-13T23:00:00.000Z,2019-03-14T23:00:00.000Z
AD,07,Jueves Santo,bank,2019-04-18 14:00:00,2019-04-18T12:00:00.000Z,2019-04-18T22:00:00.000Z
AD,07,Viernes Santo,public,2019-04-19 00:00:00,2019-04-18T22:00:00.000Z,2019-04-19T22:00:00.000Z
AD,07,Pascua,public,2019-04-21 00:00:00,2019-04-20T22:00:00.000Z,2019-04-21T22:00:00.000Z
AD,07,Lunes de Pascua,public,2019-04-22 00:00:00,2019-04-21T22:00:00.000Z,2019-04-22T22:00:00.000Z
AD,07,Fiesta del trabajo,public,2019-05-01 00:00:00,2019-04-30T22:00:00.000Z,2019-05-01T22:00:00.000Z
AD,07,Pentecostés,public,2019-06-09 00:00:00,2019-06-08T22:00:00.000Z,2019-06-09T22:00:00.000Z
AD,07,Lunes de Pentecostés,public,2019-06-10 00:00:00,2019-06-09T22:00:00.000Z,2019-06-10T22:00:00.000Z
AD,07,Andorra La Vella Festival,public,2019-08-03 00:00:00,2019-08-02T22:00:00.000Z,2019-08-05T22:00:00.000Z
AD,07,Asunción,public,2019-08-15 00:00:00,2019-08-14T22:00:00.000Z,2019-08-15T22:00:00.000Z
AD,07,Mare de Déu de Meritxell,public,2019-09-08 00:00:00,2019-09-07T22:00:00.000Z,2019-09-08T22:00:00.000Z
AD,07,Todos los Santos,public,2019-11-01 00:00:00,2019-10-31T23:00:00.000Z,2019-11-01T23:00:00.000Z
AD,07,La inmaculada concepción,public,2019-12-08 00:00:00,2019-12-07T23:00:00.000Z,2019-12-08T23:00:00.000Z
AD,07,Nochebuena,bank,2019-12-24 00:00:00,2019-12-23T23:00:00.000Z,2019-12-24T23:00:00.000Z
